"3-Digit ZIP Code Prefix","Prefix Modifier","Column A 3-Digit Destinations Label To","Unique 3-digit city","Column B 3-Digit/Scheme Destinations Label To","Scheme modifier","Column C SCF Destinations Label To"
"	474","	","	INDIANAPOLIS IN 474","	","	INDIANAPOLIS IN 474 ","	","	SCF INDIANAPOLIS IN 460"
"	475","	","	EVANSVILLE IN 475","	","	EVANSVILLE IN 475 ","	","	SCF EVANSVILLE IN 476"
"	476","	","	EVANSVILLE IN 476","	","	EVANSVILLE IN 476 ","	","	SCF EVANSVILLE IN 476"
"	477","	","	EVANSVILLE IN 477","	U","	EVANSVILLE IN 477 ","	","	SCF EVANSVILLE IN 476"
"	478","	","	INDIANAPOLIS IN 478","	","	INDIANAPOLIS IN 478 ","	","	SCF INDIANAPOLIS IN 460"
"	479","	","	INDIANAPOLIS IN 479","	","	INDIANAPOLIS IN 479 ","	","	SCF INDIANAPOLIS IN 460"
"	480","	","	METROPLEX  MI 480","	","	METROPLEX  MI 480 ","	","	SCF METROPLEX MI 480"
"	481","	","	DETROIT MI 481","	","	DETROIT MI 481 ","	","	SCF DETROIT MI 481"
"	482","	","	DETROIT MI 482","	U","	DETROIT MI 482 ","	","	SCF DETROIT MI 481"
"	483","	","	METROPLEX  MI 483","	","	METROPLEX MI 483 ","	","	SCF METROPLEX MI 480"
"	484","	","	METROPLEX MI 484","	","	METROPLEX MI 484 ","	","	SCF METROPLEX MI 480"
"	485","	","	METROPLEX MI 485","	","	METROPLEX MI 485 ","	","	SCF METROPLEX MI 480"
"	486","	","	METROPLEX MI 486","	","	METROPLEX MI 486 ","	","	SCF METROPLEX MI 480"
"	487","	","	METROPLEX MI 487","	","	METROPLEX MI 487 ","	","	SCF METROPLEX MI 480"
"	488","	","	LANSING MI 488","	","	LANSING MI 488 ","	","	SCF LANSING MI 488"
"	489","	","	LANSING MI 489","	U","	LANSING MI 489 ","	","	SCF LANSING MI 488"
"	490","	","	GRAND RAPIDS MI 490","	","	GRAND RAPIDS MI 490 ","	","	SCF GRAND RAPIDS MI 493"
"	491","	","	GRAND RAPIDS MI 491","	","	GRAND RAPIDS MI 491 ","	","	SCF GRAND RAPIDS MI 493"
"	492","	","	DETROIT MI 492","	","	DETROIT MI 492 ","	","	SCF DETROIT MI 481"
"	493","	","	GRAND RAPIDS MI 493","	","	GRAND RAPIDS MI 493 ","	","	SCF GRAND RAPIDS MI 493"
"	494","	","	GRAND RAPIDS MI 494","	","	GRAND RAPIDS MI 494 ","	","	SCF GRAND RAPIDS MI 493"
"	495","	","	GRAND RAPIDS MI 495","	U","	GRAND RAPIDS MI 495 ","	","	SCF GRAND RAPIDS MI 493"
"	496","	","	TRAVERSE CITY MI 496","	","	TRAVERSE CITY MI 496 ","	","	SCF TRAVERSE CITY MI 496"
"	497","	","	TRAVERSE CITY MI 497","	","	TRAVERSE CITY MI 497 ","	","	SCF TRAVERSE CITY MI 496"
"	498","	","	IRON MOUNTAIN MI 498","	","	IRON MOUNTAIN MI 498 ","	S","	SCF IRON MOUNTAIN MI 498"
"	499","	","	IRON MOUNTAIN MI 499","	","	IRON MOUNTAIN MI 498 ","	S","	SCF IRON MOUNTAIN MI 498"
"	500","	","	DES MOINES IA 500","	","	DES MOINES IA 500 ","	S","	SCF DES MOINES IA 500"
"	501","	","	DES MOINES IA 501","	","	DES MOINES IA 500 ","	S","	SCF DES MOINES IA 500"
"	502","	","	DES MOINES IA 502","	","	DES MOINES IA 500 ","	S","	SCF DES MOINES IA 500"
"	503","	","	DES MOINES IA 503","	U","	DES MOINES IA 503 ","	S","	SCF DES MOINES IA 500"
"	504","	","	WATERLOO IA 504","	","	WATERLOO IA 504 ","	S","	SCF WATERLOO IA 506"
"	505","	","	DES MOINES IA 505","	","	DES MOINES IA 505 ","	","	SCF DES MOINES IA 500"
"	506","	","	WATERLOO IA 506","	","	WATERLOO IA 506 ","	","	SCF WATERLOO IA 506"
"	507","	","	WATERLOO IA 507","	U","	WATERLOO IA 507 ","	","	SCF WATERLOO IA 506"
"	508","	","	DES MOINES IA 508","	","	DES MOINES  IA 508 ","	","	SCF DES MOINES IA 500"
"	509","	","	DES MOINES IA 509","	","	DES MOINES IA 503 ","	S","	SCF DES MOINES IA 500"
"	510","	","	SIOUX FALLS SD 510","	","	SIOUX FALLS SD 510 ","	","	SCF SIOUX FALLS SD 570"
"	511","	","	SIOUX FALLS SD 511","	","	SIOUX FALLS SD 511 ","	","	SCF SIOUX FALLS SD 570"
"	512","	","	SIOUX FALLS SD 512","	","	SIOUX FALLS SD 512 ","	","	SCF SIOUX FALLS SD 570"
"	513","	","	SIOUX FALLS SD 513","	","	SIOUX FALLS SD 513 ","	","	SCF SIOUX FALLS SD 570"
"	514","	","	DES MOINES IA 514","	","	DES MOINES IA 514 ","	","	SCF DES MOINES IA 500"
"	515","	","	OMAHA NE 515","	","	OMAHA NE 515 ","	","	SCF OMAHA NE 680"
"	516","	","	OMAHA NE 516","	","	OMAHA NE 516 ","	","	SCF OMAHA NE 680"
"	520","	","	CEDAR RAPIDS IA 520","	","	CEDAR RAPIDS IA 520 ","	","	SCF CEDAR RAPIDS IA 522"
"	521","	","	WATERLOO IA 521","	","	WATERLOO IA 504 ","	S","	SCF WATERLOO IA 506"
"	522","	","	CEDAR RAPIDS IA 522","	","	CEDAR RAPIDS IA 522 ","	S","	SCF CEDAR RAPIDS IA 522"
"	523","	","	CEDAR RAPIDS IA 523","	","	CEDAR RAPIDS IA 522 ","	S","	SCF CEDAR RAPIDS IA 522"
"	524","	","	CEDAR RAPIDS IA 524","	U","	CEDAR RAPIDS IA 524 ","	","	SCF CEDAR RAPIDS IA 522"
"	525","	","	DES MOINES IA 525","	","	DES MOINES IA 525 ","	","	SCF DES MOINES IA 500"
"	526","	","	QUAD CITIES IL 526","	","	QUAD CITIES IL 526 ","	","	SCF QUAD CITIES IL 612"
"	527","	","	QUAD CITIES IL 527","	","	QUAD CITIES IL 612 ","	S","	SCF QUAD CITIES IL 612"
"	528","	","	DAVENPORT IA 528","	U","	QUAD CITIES IL 612 ","	S","	SCF QUAD CITIES IL 612"
"	530","	N","	MILWAUKEE WI 530","	","	MILWAUKEE WI 530 ","	","	SCF MILWAUKEE WI 530"
"	531","	N","	MILWAUKEE WI 531","	","	MILWAUKEE WI 531 ","	","	SCF MILWAUKEE WI 530"
"	532","	","	MILWAUKEE WI 532","	U","	MILWAUKEE WI 532 ","	","	SCF MILWAUKEE WI 530"
"	534","	N","	RACINE WI 534","	U","	RACINE WI 534 ","	","	SCF MILWAUKEE WI 530"
"	535","	","	MADISON WI 535","	","	MADISON WI 535 ","	S","	SCF MADISON WI 535"
"	537","	","	MADISON WI 537","	U","	MADISON WI 537 ","	","	SCF MADISON WI 535"
"	538","	","	MADISON WI 538","	","	MADISON WI 535 ","	S","	SCF MADISON WI 535"
"	539","	","	MADISON WI 539","	","	MADISON WI 539 ","	","	SCF MADISON WI 535"
"	540","	","	ST PAUL MN 540","	","	ST PAUL MN 550 ","	S","	SCF ST PAUL MN 550"
"	541","	N","	GREEN BAY WI 541","	","	GREEN BAY WI 541 ","	S","	SCF GREEN BAY WI 541"
"	542","	N","	GREEN BAY WI 542","	","	GREEN BAY WI 541 ","	S","	SCF GREEN BAY WI 541"
"	543","	","	GREEN BAY WI 543","	U","	GREEN BAY WI 543 ","	","	SCF GREEN BAY WI 541"
"	544","	","	GREEN BAY WI 544","	","	GREEN BAY WI 544 ","	","	SCF GREEN BAY WI 541"
"	545","	","	GREEN BAY WI 545","	","	GREEN BAY WI 545 ","	","	SCF GREEN BAY WI 541"
"	546","	","	ST PAUL MN 546","	","	ST PAUL MN 546 ","	","	SCF ST PAUL MN 550"
"	547","	","	EAU CLAIRE WI 547","	","	EAU CLAIRE WI 547 ","	","	SCF EAU CLAIRE WI 547"
"	548","	","	EAU CLAIRE WI 548","	","	EAU CLAIRE WI 548 ","	","	SCF EAU CLAIRE WI 547"
"	549","	","	MILWAUKEE WI 549","	","	MILWAUKEE WI 549 ","	","	SCF MILWAUKEE WI 530"
"	550","	","	ST PAUL  MN 550","	","	ST PAUL MN 550 ","	S","	SCF ST PAUL MN 550"
"	551","	","	ST PAUL MN 551","	U","	ST PAUL MN 551 ","	","	SCF ST PAUL MN 550"
"	553","	N","	MINNEAPOLIS MN 553","	","	MINNEAPOLIS MN 553 ","	","	SCF MINNEAPOLIS MN 553"
"	554","	N","	MINNEAPOLIS MN 554","	U","	MINNEAPOLIS MN 554 ","	","	SCF MINNEAPOLIS MN 553"
"	555","	","	MINNEAPOLIS MN 555","	","	MINNEAPOLIS MN 555 ","	","	SCF MINNEAPOLIS MN 553"
"	556","	","	ST PAUL MN 556","	","	ST PAUL MN 556 ","	","	SCF ST PAUL MN 550"
"	557","	","	ST PAUL MN 557","	","	ST PAUL MN 557 ","	","	SCF ST PAUL MN 550"
"	558","	","	ST PAUL MN 558","	","	ST PAUL MN 558 ","	","	SCF ST PAUL MN 550"
"	559","	","	ST PAUL MN 559","	","	ST PAUL MN 559 ","	","	SCF ST PAUL MN 550"
"	560","	","	MANKATO MN 560","	","	MANKATO MN 560 ","	","	SCF MANKATO MN 560"
"	561","	","	MANKATO MN 561","	","	MANKATO MN 561 ","	","	SCF MANKATO MN 560"
"	562","	","	ST CLOUD MN 562","	","	ST CLOUD MN 562 ","	","	SCF ST CLOUD MN 563"
"	563","	","	ST CLOUD MN 563","	","	ST CLOUD MN 563 ","	","	SCF ST CLOUD MN 563"
"	564","	","	ST CLOUD MN 564","	","	ST CLOUD MN 564 ","	","	SCF ST CLOUD MN 563"
"	565","	","	FARGO ND 565","	","	FARGO ND 565 ","	","	SCF FARGO ND 580"
"	566","	","	BEMIDJI MN 566","	","	BEMIDJI MN 566 ","	","	BEMIDJI MN 566"
"	567","	","	GRAND FORKS ND 567","	","	GRAND FORKS ND 567 ","	","	SCF GRAND FORKS ND 582"
"	570","	","	SIOUX FALLS SD 570","	","	SIOUX FALLS SD 570 ","	","	SCF SIOUX FALLS SD 570"
"	571","	","	SIOUX FALLS SD 571","	U","	SIOUX FALLS SD 571 ","	","	SCF SIOUX FALLS SD 570"
"	572","	","	DAKOTA CENTRAL SD 572","	","	DAKOTA CENTRAL SD 572 ","	","	SCF DAKOTA CENTRAL SD 572"
"	573","	","	DAKOTA CENTRAL SD 573","	","	DAKOTA CENTRAL SD 573 ","	","	SCF DAKOTA CENTRAL SD 572"
"	574","	","	DAKOTA CENTRAL SD 574","	","	DAKOTA CENTRAL SD 574 ","	","	SCF DAKOTA CENTRAL SD 572"
"	575","	","	DAKOTA CENTRAL SD 575","	","	DAKOTA CENTRAL SD 575 ","	","	SCF DAKOTA CENTRAL SD 572"
"	576","	","	BISMARCK ND 576","	","	BISMARCK ND 585 ","	S","	SCF BISMARCK ND 585"
"	577","	","	RAPID CITY SD 577","	","	RAPID CITY SD 577 ","	","	RAPID CITY SD 577"
"	580","	","	FARGO ND 580","	","	FARGO ND 580 ","	","	SCF FARGO ND 580"
"	581","	","	FARGO ND 581","	U","	FARGO ND 581 ","	","	SCF FARGO ND 580"
"	582","	","	GRAND FORKS ND 582","	","	GRAND FORKS ND 582 ","	","	SCF GRAND FORKS ND 582"
"	583","	","	GRAND FORKS ND 583","	","	GRAND FORKS ND 583 ","	","	SCF GRAND FORKS ND 582"
"	584","	","	FARGO ND 584","	","	FARGO ND 584 ","	","	SCF FARGO ND 580"
"	585","	","	BISMARCK ND 585","	","	BISMARCK ND 585 ","	S","	SCF BISMARCK ND 585"
"	586","	","	BISMARCK ND 586","	","	BISMARCK ND 585 ","	S","	SCF BISMARCK ND 585"
"	587","	","	BISMARCK ND 587","	","	BISMARCK ND 587 ","	","	SCF BISMARCK ND 585"
"	588","	","	BISMARCK ND 588","	","	BISMARCK ND 588 ","	","	SCF BISMARCK ND 585"
"	590","	","	BILLINGS MT 590","	","	BILLINGS MT 590 ","	S","	SCF BILLINGS MT 590"
"	591","	","	BILLINGS MT 591","	U","	BILLINGS MT 590 ","	S","	SCF BILLINGS MT 590"
"	592","	","	BILLINGS MT 592","	","	BILLINGS MT 592 ","	","	SCF BILLINGS MT 590"
"	593","	","	BILLINGS MT 593","	","	BILLINGS MT 593 ","	","	SCF BILLINGS MT 590"
"	594","	","	GREAT FALLS MT 594","	","	GREAT FALLS MT 594 ","	","	SCF GREAT FALLS MT 594"
"	595","	","	GREAT FALLS MT 595","	","	GREAT FALLS MT 595 ","	","	SCF GREAT FALLS MT 594"
"	596","	","	GREAT FALLS MT 596","	","	GREAT FALLS MT 596 ","	","	SCF GREAT FALLS MT 594"
"	597","	","	BILLINGS MT 597","	","	BILLINGS MT 597 ","	","	SCF BILLINGS MT 590"
"	598","	","	MISSOULA MT 598","	","	MISSOULA MT 598 ","	","	SCF MISSOULA MT 598"
"	599","	","	MISSOULA MT 599","	","	MISSOULA MT 599 ","	","	SCF MISSOULA MT 598"
"	600","	","	PALATINE IL 600","	","	PALATINE IL 600 ","	S","	SCF PALATINE IL 600"
"	601","	","	CAROL STREAM IL 601","	","	CAROL STREAM IL 601 ","	S","	SCF CAROL STREAM IL 601"
"	602","	","	EVANSTON IL 602","	U","	PALATINE IL 600 ","	S","	SCF PALATINE IL 600"
"	603","	","	OAK PARK IL 603","	U","	CAROL STREAM IL 601 ","	S","	SCF CAROL STREAM IL 601"
"	604","	","	S SUBURBAN IL 604","	","	S SUBURBAN IL 604 ","	","	S SUBURBAN IL 604"
"	605","	","	FOX VALLEY IL 605","	","	FOX VALLEY IL 605 ","	","	FOX VALLEY IL 605"
"	606","	N","	CHICAGO IL 606","	U","	CHICAGO IL 606 ","	","	SCF CHICAGO IL 606"
"	607","	","	CHICAGO IL 607","	","	CHICAGO IL 607 ","	","	SCF CHICAGO IL 606"
"	608","	N","	CHICAGO IL 608","	","	CHICAGO IL 608 ","	","	SCF CHICAGO IL 606"
"	609","	","	CHAMPAIGN IL 609","	","	CHAMPAIGN IL 609 ","	","	SCF CHAMPAIGN IL 618"
"	610","	","	PALATINE IL 610","	","	PALATINE IL 610 ","	","	SCF PALATINE IL 600"
"	611","	","	PALATINE IL 611","	","	PALATINE IL 611 ","	","	SCF PALATINE IL 600"
"	612","	","	QUAD CITIES IL 612","	","	QUAD CITIES IL 612 ","	S","	SCF QUAD CITIES IL 612"
"	613","	","	PEORIA IL 613","	","	PEORIA IL 613 ","	","	SCF PEORIA IL 615"
"	614","	","	PEORIA IL 614","	","	PEORIA IL 614 ","	","	SCF PEORIA IL 615"
"	615","	N","	PEORIA IL 615","	","	PEORIA IL 615 ","	S","	SCF PEORIA IL 615"
"	616","	N","	PEORIA IL 616","	U","	PEORIA IL 615 ","	S","	SCF PEORIA IL 615"
"	617","	","	CHAMPAIGN IL 617","	","	CHAMPAIGN IL 617 ","	","	SCF CHAMPAIGN IL 618"
"	618","	","	CHAMPAIGN IL 618","	","	CHAMPAIGN IL 618 ","	S","	SCF CHAMPAIGN IL 618"
"	619","	","	CHAMPAIGN IL 619","	","	CHAMPAIGN IL 618 ","	S","	SCF CHAMPAIGN IL 618"
"	620","	","	ST LOUIS MO 620","	","	ST LOUIS MO 630 ","	S","	SCF ST LOUIS MO 630"
"	622","	","	ST LOUIS MO 622","	","	ST LOUIS MO 630 ","	S","	SCF ST LOUIS MO 630"
"	623","	","	SPRINGFIELD IL 623","	","	SPRINGFIELD IL 623 ","	","	SCF SPRINGFIELD IL 625"
"	624","	","	CHAMPAIGN IL 624","	","	CHAMPAIGN IL 624 ","	","	SCF CHAMPAIGN IL 618"
"	625","	","	SPRINGFIELD IL 625","	","	SPRINGFIELD IL 625 ","	","	SCF SPRINGFIELD IL 625"
"	626","	","	SPRINGFIELD IL 626","	","	SPRINGFIELD IL 626 ","	","	SCF SPRINGFIELD IL 625"
"	627","	","	SPRINGFIELD IL 627","	U","	SPRINGFIELD IL 627 ","	","	SCF SPRINGFIELD IL 625"
"	628","	","	ST LOUIS MO 628","	","	ST LOUIS MO 628 ","	","	SCF ST LOUIS MO 630"
"	629","	","	ST LOUIS MO 629","	","	ST LOUIS MO 629 ","	","	SCF ST LOUIS MO 630"
"	630","	","	ST LOUIS MO 630","	","	ST LOUIS MO 630 ","	S","	SCF ST LOUIS MO 630"
"	631","	","	ST LOUIS MO 631","	U","	ST LOUIS MO 631 ","	","	SCF ST LOUIS MO 630"
"	633","	","	ST LOUIS MO 633","	","	ST LOUIS MO 630 ","	S","	SCF ST LOUIS MO 630"
"	634","	","	ST LOUIS MO 634","	","	ST LOUIS MO 634 ","	","	SCF ST LOUIS MO 630"
"	635","	","	MID-MISSOURI MO 635","	","	MID-MISSOURI MO 635 ","	","	SCF MID-MISSOURI MO 650"
"	636","	","	ST LOUIS MO 636","	","	ST LOUIS MO 636 ","	","	SCF ST LOUIS MO 630"
"	637","	","	ST LOUIS MO 637","	","	ST LOUIS MO 637 ","	","	SCF ST LOUIS MO 630"
"	638","	","	ST LOUIS MO 638","	","	ST LOUIS MO 638 ","	","	SCF ST LOUIS MO 630"
"	639","	","	ST LOUIS MO 639","	","	ST LOUIS MO 639 ","	","	SCF ST LOUIS MO 630"
"	640","	","	KANSAS CITY MO 640","	","	KANSAS CITY MO 640 ","	","	SCF KANSAS CITY MO 640"
"	641","	","	KANSAS CITY MO 641","	U","	KANSAS CITY MO 641 ","	","	SCF KANSAS CITY MO 640"
"	644","	","	KANSAS CITY MO 644","	","	KANSAS CITY MO 644 ","	","	SCF KANSAS CITY MO 640"
"	645","	","	KANSAS CITY MO 645","	","	KANSAS CITY MO 645 ","	","	SCF KANSAS CITY MO 640"
"	646","	","	KANSAS CITY MO 646","	","	KANSAS CITY MO 646 ","	","	SCF KANSAS CITY MO 640"
"	647","	","	KANSAS CITY MO 647","	","	KANSAS CITY MO 647 ","	","	SCF KANSAS CITY MO 640"
"	648","	","	SPRINGFIELD MO 648","	","	SPRINGFIELD MO 648 ","	","	SCF SPRINGFIELD MO 656"
"	649","	","	KANSAS CITY MO 649","	","	KANSAS CITY MO 649 ","	","	SCF KANSAS CITY MO 640"
"	650","	","	MID-MISSOURI MO 650","	","	MID-MISSOURI MO 650 ","	","	SCF MID-MISSOURI MO 650"
"	651","	","	MID-MISSOURI MO 651","	","	MID-MISSOURI MO 651 ","	","	SCF MID-MISSOURI MO 650"
"	652","	","	MID-MISSOURI MO 652","	","	MID-MISSOURI MO 652 ","	","	SCF MID-MISSOURI MO 650"
"	653","	","	MID-MISSOURI MO 653","	","	MID-MISSOURI MO 653 ","	","	SCF MID-MISSOURI MO 650"
"	654","	","	SPRINGFIELD MO 654","	","	SPRINGFIELD MO 654 ","	","	SCF SPRINGFIELD MO 656"
"	655","	","	SPRINGFIELD MO 655","	","	SPRINGFIELD MO 655 ","	","	SCF SPRINGFIELD MO 656"
"	656","	","	SPRINGFIELD MO 656","	","	SPRINGFIELD MO 656 ","	","	SCF SPRINGFIELD MO 656"
"	657","	","	SPRINGFIELD MO 657","	","	SPRINGFIELD MO 657 ","	","	SCF SPRINGFIELD MO 656"
"	658","	","	SPRINGFIELD MO 658","	U","	SPRINGFIELD MO 658 ","	","	SCF SPRINGFIELD MO 656"
"	660","	","	KANSAS CITY MO 660","	","	KANSAS CITY MO 660 ","	","	SCF KANSAS CITY MO 640"
"	661","	","	KANSAS CITY MO 661","	U","	KANSAS CITY MO 661 ","	","	SCF KANSAS CITY MO 640"
"	662","	","	SHAWNEE MISSION  KS 662","	","	KANSAS CITY MO 662 ","	","	SCF KANSAS CITY MO 640"
"	664","	","	KANSAS CITY  MO 664","	","	KANSAS CITY MO 664 ","	","	SCF KANSAS CITY MO 640"
"	665","	","	KANSAS CITY MO 665","	","	KANSAS CITY MO 665 ","	","	SCF KANSAS CITY MO 640"
"	666","	","	KANSAS CITY MO 666","	","	KANSAS CITY MO 666 ","	","	SCF KANSAS CITY MO 640"
