"Column A Destination ZIP Codes","Column B Label Container To"
"	12747, 12759, 12788","	WOODBOURNE NY 12788"
"	12758, 12768, 12776","	LIVINGSTON MANOR NY 12758"
"	12763, 12789","	WOODRIDGE NY 12789"
"	12801, 12803-12804, 12839","	GLENS FALLS NY 12801"
"	12852, 12879","	NEWCOMB NY 12852"
"	12901, 12903","	PLATTSBURGH NY 12901"
"	12911, 12924, 12944","	KEESEVILLE NY 12944"
"	12949, 12967","	NORTH LAWRENCE NY 12967"
"	12952, 12955","	LYON MOUNTAIN NY 12952"
"	12956, 12998","	MINEVILLE NY 12956"
"	13021-13022, 13024","	AUBURN NY 13021"
"	13029, 13039, 13041","	CLAY NY 13041"
"	13031, 13209, 13219","	SYRACUSE NY 13209"
"	13056, 13158","	TRUXTON NY 13158"
"	13084, 13159","	TULLY NY 13159"
"	13089-13090","	LIVERPOOL NY 13090"
"	13120, 13205, 13207","	SYRACUSE NY 13205"
"	13203, 13206","	SYRACUSE NY 13206"
"	13210, 13217, 13224","	SYRACUSE  NY 13217"
"	13220-13221","	SYRACUSE NY 13220"
"	13308, 13401","	BLOSSVALE NY 13308"
"	13315, 13415","	BURLINGTON FLATS NY 13315"
"	13357, 13407","	ILION NY 13357"
"	13417, 13495","	YORKVILLE NY 13495"
"	13421, 13461","	ONEIDA NY 13421"
"	13440-13441","	ROME NY 13440"
"	13504, 13599","	UTICA NY 13504"
"	13634, 13657","	DEXTER NY 13634"
"	13676, 13699","	POTSDAM NY 13676"
"	13733, 13838","	SIDNEY NY 13838"
"	13752-13753","	DELHI NY 13753"
"	13820, 13825","	ONEONTA NY 13820"
"	13850-13851","	VESTAL NY 13850"
"	13901, 13903","	BINGHAMTON NY 13901"
"	13904-13905","	BINGHAMTON NY 13904"
"	14011, 14037","	ATTICA NY 14011"
"	14020-14021","	BATAVIA NY 14020"
"	14028, 14108","	NEWFANE NY 14108"
"	14048, 14166","	DUNKIRK NY 14048"
"	14065, 14133","	FREEDOM NY 14065"
"	14094-14095","	LOCKPORT NY 14094"
"	14150-14151","	TONAWANDA NY 14150"
"	14201-14202","	BUFFALO NY 14202"
"	14221, 14231","	BUFFALO NY 14221"
"	14233, 14240, 14264, 14267, 14270, 14272-14273","	BUFFALO NY 14240"
"	14302-14303, 14305","	NIAGARA FALLS NY 14305"
"	14418, 14478","	KEUKA PARK NY 14478"
"	14443, 14469","	BLOOMFIELD NY 14469"
"	14462, 14545","	GROVELAND NY 14462"
"	14486, 14525","	PAVILION NY 14525"
"	14650, 14652-14653","	ROCHESTER NY 14650"
"	14692, 14694","	ROCHESTER NY 14692"
"	14701-14702","	JAMESTOWN NY 14701"
"	14851-14852, 14882","	ITHACA NY 14851"
"	15106, 15205, 15275-15277","	PITTSBURGH PA 15205"
"	15140, 15146","	MONROEVILLE PA 15146"
"	15202, 15214","	PITTSBURGH PA 15202"
